regime,steps,total_params,masked_params,trainable_params,param_mb,grad_mb,optimizer_state_mb,analytic_resident_mb,empirical_peak_mb
GD-400,400,4330240,0,4330240,17.321,17.321,34.642,69.284,71.535
Compiler,400,4330240,786432,3543808,17.321,14.175,28.351,59.847,62.098
